Game ID,Winner,Loser,Order
1,AUB,ALST,5
2,CREI,LOU,1
3,MICH,UCSD,15
4,TA&M,YALE,11
5,MISS,UNC,23
6,ISU,LIP,19
7,UNM,MARQ,27
8,MSU,BRY,31
9,FLA,NSU,25
10,CONN,OU,29
11,CSU,MEM,20
12,MD,GCU,24
13,DRKE,MIZ,12
14,TTU,UNCW,16
15,ARK,KU,10
16,SJU,OMA,14
17,DUKE,MSM,21
18,BAY,MSST,17
19,ORE,LIB,32
20,ARIZ,AKR,28
21,BYU,VCU,7
22,WIS,MONT,3
23,SMC,VAN,22
24,ALA,RMU,18
25,HOU,SIUE,4
26,GONZ,UGA,8
27,MCN,CLEM,6
28,PUR,HPU,2
29,ILL,XAV,30
30,UK,TROY,26
31,UCLA,USU,13
32,TENN,WOF,9
33,AUB,CREI,37
34,MICH,TA&M,35
35,MISS,ISU,46
36,MSU,UNM,47
37,FLA,CONN,41
38,MD,CSU,45
39,TTU,DRKE,36
40,ARK,SJU,34
41,DUKE,BAY,42
42,ARIZ,ORE,48
43,BYU,WIS,38
44,ALA,SMC,44
45,HOU,GONZ,39
46,PUR,MCN,33
47,UK,ILL,43
48,TENN,UCLA,40